Symbol,Available_Shares,Last_Updated
CLOE,95000,2024-12-11T19:45:03+00:00
CLOI,45000,2024-12-11T19:45:03+00:00
CLOQ,150000,2024-12-11T19:45:03+00:00
CLOU,7000,2024-12-11T19:45:03+00:00
CLOV,10000000,2024-12-11T19:45:03+00:00
CLOW,100000,2024-12-11T19:45:03+00:00
CLOX,35000,2024-12-11T19:45:03+00:00
CLOZ,500000,2024-12-11T19:45:03+00:00
CLPBY,150000,2024-12-11T19:45:03+00:00
CLPHY,95000,2024-12-11T19:45:03+00:00
CLPR,1200000,2024-12-11T19:45:03+00:00
CLPS,650000,2024-12-11T19:45:03+00:00
CLPT,1300000,2024-12-11T19:45:03+00:00
CLPXY,800,2024-12-11T19:45:03+00:00
CLRB,1400000,2024-12-11T19:45:03+00:00
CLRC,100000,2024-12-11T19:45:03+00:00
CLRCU,100,2024-12-11T19:45:03+00:00
CLRD,10000,2024-12-11T19:45:03+00:00
CLRH,4800000,2024-12-11T19:45:03+00:00
CLRI,300000,2024-12-11T19:45:03+00:00
CLRMF,750000,2024-12-11T19:45:03+00:00
CLRO,500000,2024-12-11T19:45:03+00:00
CLRYF,650000,2024-12-11T19:45:03+00:00
CLS,2400000,2024-12-11T19:45:03+00:00
CLSD,1700000,2024-12-11T19:45:03+00:00
CLSE,15000,2024-12-11T19:45:03+00:00
CLSH,1000000,2024-12-11T19:45:03+00:00
CLSK,8000000,2024-12-11T19:45:03+00:00
CLSM,15000,2024-12-11T19:45:03+00:00
CLST,45000,2024-12-11T19:45:03+00:00
CLST1,200000,2024-12-11T19:45:03+00:00
CLTH,100000,2024-12-11T19:45:03+00:00
CLTS,1600000,2024-12-11T19:45:03+00:00
CLVLY,75000,2024-12-11T19:45:03+00:00
CLVR,150000,2024-12-11T19:45:03+00:00
CLVT,10000000,2024-12-11T19:45:03+00:00
CLW,300000,2024-12-11T19:45:03+00:00
CLWT,100000,2024-12-11T19:45:03+00:00
CLWY,2300000,2024-12-11T19:45:03+00:00
CLX,2800000,2024-12-11T19:45:03+00:00
CLXM,1500000,2024-12-11T19:45:03+00:00
CLXS,30000,2024-12-11T19:45:03+00:00
CLYM,400000,2024-12-11T19:45:03+00:00
CLYV,250000,2024-12-11T19:45:03+00:00
CM,5700000,2024-12-11T19:45:03+00:00
CMA,2400000,2024-12-11T19:45:03+00:00
CMAKY,25000,2024-12-11T19:45:03+00:00
CMAUF,15000,2024-12-11T19:45:03+00:00
CMAXQ,75000,2024-12-11T19:45:03+00:00
CMBM,1500000,2024-12-11T19:45:03+00:00
CMBS,2000,2024-12-11T19:45:03+00:00
CMBT,200000,2024-12-11T19:45:03+00:00
CMC,2900000,2024-12-11T19:45:03+00:00
CMCAF,30000,2024-12-11T19:45:03+00:00
CMCAU,500,2024-12-11T19:45:03+00:00
CMCI,2000,2024-12-11T19:45:03+00:00
CMCI.OLD1,600000,2024-12-11T19:45:03+00:00
CMCL,350000,2024-12-11T19:45:03+00:00
CMCM,500000,2024-12-11T19:45:03+00:00
CMCO,1200000,2024-12-11T19:45:03+00:00
CMCSA,10000000,2024-12-11T19:45:03+00:00
CMCT,2000000,2024-12-11T19:45:03+00:00
CMCXF,1000000,2024-12-11T19:45:03+00:00
CMCZ,150000,2024-12-11T19:45:03+00:00
CMDA,1900000,2024-12-11T19:45:03+00:00
CMDJ,550000,2024-12-11T19:45:03+00:00
CMDT,15000,2024-12-11T19:45:03+00:00
CMDY,6000,2024-12-11T19:45:03+00:00
CME,10000000,2024-12-11T19:45:03+00:00
CMER,100,2024-12-11T19:45:03+00:00
CMEY,200000,2024-12-11T19:45:03+00:00
CMF,30000,2024-12-11T19:45:03+00:00
CMFO,900000,2024-12-11T19:45:03+00:00
CMFV,150000,2024-12-11T19:45:03+00:00
CMG,10000000,2024-12-11T19:45:03+00:00
CMGO,3900000,2024-12-11T19:45:03+00:00
CMGR,35000,2024-12-11T19:45:03+00:00
CMGR.OLD1,2000,2024-12-11T19:45:03+00:00
CMHSF,500,2024-12-11T19:45:03+00:00
CMHZ,10000,2024-12-11T19:45:03+00:00
CMI,4400000,2024-12-11T19:45:03+00:00
CMIM,900,2024-12-11T19:45:03+00:00
CMIT,300000,2024-12-11T19:45:03+00:00
CMKM,250000,2024-12-11T19:45:03+00:00
CMKT,45000,2024-12-11T19:45:03+00:00
CMLS,1200000,2024-12-11T19:45:03+00:00
CMMB,500000,2024-12-11T19:45:03+00:00
CMND,100000,2024-12-11T19:45:03+00:00
CMNR,100000,2024-12-11T19:45:03+00:00
CMOT,8000,2024-12-11T19:45:03+00:00
CMP,750000,2024-12-11T19:45:03+00:00
CMPD,30000,2024-12-11T19:45:03+00:00
CMPGY,250000,2024-12-11T19:45:03+00:00
CMPO,250000,2024-12-11T19:45:03+00:00
CMPR,750000,2024-12-11T19:45:03+00:00
CMPS,950000,2024-12-11T19:45:03+00:00
CMPX,2800000,2024-12-11T19:45:03+00:00
CMPY,2000,2024-12-11T19:45:03+00:00
CMRA,200000,2024-12-11T19:45:03+00:00
CMRB,20000,2024-12-11T19:45:03+00:00
CMRE,750000,2024-12-11T19:45:03+00:00
CMRE PRB,35000,2024-12-11T19:45:03+00:00
CMRE PRC,60000,2024-12-11T19:45:03+00:00
CMRE PRD,200000,2024-12-11T19:45:03+00:00
CMRX,2300000,2024-12-11T19:45:03+00:00
CMRZF,500000,2024-12-11T19:45:03+00:00
CMS,10000000,2024-12-11T19:45:03+00:00
CMS PRB,200,2024-12-11T19:45:03+00:00
CMS PRC,70000,2024-12-11T19:45:03+00:00
CMSC,150000,2024-12-11T19:45:03+00:00
CMSD,20000,2024-12-11T19:45:03+00:00
CMSQY,20000,2024-12-11T19:45:03+00:00
CMST,100,2024-12-11T19:45:03+00:00
CMT,200000,2024-12-11T19:45:03+00:00
CMTG,4100000,2024-12-11T19:45:03+00:00
CMTL,750000,2024-12-11T19:45:03+00:00
CMTNF,200000,2024-12-11T19:45:03+00:00
CMTOY,50000,2024-12-11T19:45:03+00:00
CMTV,1000,2024-12-11T19:45:03+00:00
CMU,40000,2024-12-11T19:45:03+00:00
CMUV,20000,2024-12-11T19:45:03+00:00
CMWAY,25000,2024-12-11T19:45:03+00:00
CNA,550000,2024-12-11T19:45:03+00:00
CNAF,55000,2024-12-11T19:45:03+00:00
CNAG,2100000,2024-12-11T19:45:03+00:00
CNAV,200,2024-12-11T19:45:03+00:00
CNBA,400,2024-12-11T19:45:03+00:00
CNBB,600,2024-12-11T19:45:03+00:00
CNBI,100000,2024-12-11T19:45:03+00:00
CNBS,150000,2024-12-11T19:45:03+00:00
CNBW,500,2024-12-11T19:45:03+00:00
CNBX,800000,2024-12-11T19:45:03+00:00
CNBZ,500,2024-12-11T19:45:03+00:00
CNC,10000000,2024-12-11T19:45:03+00:00
CNCK,250000,2024-12-11T19:45:03+00:00
CNCM,10000000,2024-12-11T19:45:03+00:00
CNCOF,100000,2024-12-11T19:45:03+00:00
CNCR,10000,2024-12-11T19:45:03+00:00
CNCT,60000,2024-12-11T19:45:03+00:00
CNDA,95000,2024-12-11T19:45:03+00:00
CNDAU,200,2024-12-11T19:45:03+00:00
CNDD,250000,2024-12-11T19:45:03+00:00
CNDT,7100000,2024-12-11T19:45:03+00:00
CNENF,8000,2024-12-11T19:45:03+00:00
CNEP,60000,2024-12-11T19:45:03+00:00
CNER,100000,2024-12-11T19:45:03+00:00
CNET,4000,2024-12-11T19:45:03+00:00
CNEY,350000,2024-12-11T19:45:03+00:00
CNF,2400000,2024-12-11T19:45:03+00:00
CNFN,60000,2024-12-11T19:45:03+00:00
CNFR,200000,2024-12-11T19:45:03+00:00
CNFRZ,2000,2024-12-11T19:45:03+00:00
CNGA,15000,2024-12-11T19:45:03+00:00
CNGI,7000,2024-12-11T19:45:03+00:00
CNGKY,400,2024-12-11T19:45:03+00:00
CNGL,200000,2024-12-11T19:45:03+00:00
CNGLU,1000,2024-12-11T19:45:03+00:00
CNGT,3600000,2024-12-11T19:45:03+00:00
CNH,10000000,2024-12-11T19:45:03+00:00
CNHC,2000,2024-12-11T19:45:03+00:00
CNI,1200000,2024-12-11T19:45:03+00:00
CNK,1300000,2024-12-11T19:45:03+00:00
CNL,2400000,2024-12-11T19:45:03+00:00
CNLG,150000,2024-12-11T19:45:03+00:00
CNLHN,100,2024-12-11T19:45:03+00:00
CNLHO,200,2024-12-11T19:45:03+00:00
CNLHP,300,2024-12-11T19:45:03+00:00
CNLK,1000,2024-12-11T19:45:03+00:00
CNLPL,400,2024-12-11T19:45:03+00:00
CNLTL,200,2024-12-11T19:45:03+00:00
CNLTN,4000,2024-12-11T19:45:03+00:00
CNLTP,700,2024-12-11T19:45:03+00:00
CNM,5300000,2024-12-11T19:45:03+00:00
CNMD,450000,2024-12-11T19:45:03+00:00
CNMXF,150000,2024-12-11T19:45:03+00:00
CNNA,3600000,2024-12-11T19:45:03+00:00
CNNC,35000,2024-12-11T19:45:03+00:00
CNNE,850000,2024-12-11T19:45:03+00:00
CNNEF,30000,2024-12-11T19:45:03+00:00
CNNN,15000,2024-12-11T19:45:03+00:00
CNNXF,1400000,2024-12-11T19:45:03+00:00
CNO,2500000,2024-12-11T19:45:03+00:00
CNO PRA,9000,2024-12-11T19:45:03+00:00
CNOA,550000,2024-12-11T19:45:03+00:00
CNOB,850000,2024-12-11T19:45:03+00:00
CNOBP,200000,2024-12-11T19:45:03+00:00
CNONF,3000,2024-12-11T19:45:03+00:00
CNOZ,1300000,2024-12-11T19:45:03+00:00
CNP,10000000,2024-12-11T19:45:03+00:00
CNPOF,1000000,2024-12-11T19:45:03+00:00
CNPWM,300,2024-12-11T19:45:03+00:00
CNPWP,600,2024-12-11T19:45:03+00:00
CNQ,10000000,2024-12-11T19:45:03+00:00
CNRC,4500000,2024-12-11T19:45:03+00:00
CNRCF,750000,2024-12-11T19:45:03+00:00
CNRD,20000,2024-12-11T19:45:03+00:00
CNRSF,400,2024-12-11T19:45:03+00:00
CNS,750000,2024-12-11T19:45:03+00:00
CNSL,1600000,2024-12-11T19:45:03+00:00
CNSP,1400000,2024-12-11T19:45:03+00:00
CNSWF,100,2024-12-11T19:45:03+00:00
CNTA,450000,2024-12-11T19:45:03+00:00
CNTB,200000,2024-12-11T19:45:03+00:00
CNTGF,150000,2024-12-11T19:45:03+00:00
CNTHN,100,2024-12-11T19:45:03+00:00
CNTHP,3000,2024-12-11T19:45:03+00:00
CNTM,150000,2024-12-11T19:45:03+00:00
CNTO,100000,2024-12-11T19:45:03+00:00
CNTRD,2000,2024-12-11T19:45:03+00:00
CNTTQ,150000,2024-12-11T19:45:03+00:00
CNTX,850000,2024-12-11T19:45:03+00:00
CNTY,1800000,2024-12-11T19:45:03+00:00
CNVIF,85000,2024-12-11T19:45:03+00:00
CNVP,1000,2024-12-11T19:45:03+00:00
CNVS,650000,2024-12-11T19:45:03+00:00
CNVT,40000,2024-12-11T19:45:03+00:00
CNWD,35000,2024-12-11T19:45:03+00:00
CNWHF,100000,2024-12-11T19:45:03+00:00
CNWT,65000,2024-12-11T19:45:03+00:00
CNX,2700000,2024-12-11T19:45:03+00:00
CNXC,750000,2024-12-11T19:45:03+00:00
CNXN,250000,2024-12-11T19:45:03+00:00
CNXS,10000000,2024-12-11T19:45:03+00:00
CNXT,75000,2024-12-11T19:45:03+00:00
CNXX,10000,2024-12-11T19:45:03+00:00
CNYA,1800000,2024-12-11T19:45:03+00:00
COAL,10000,2024-12-11T19:45:03+00:00
COBA,100,2024-12-11T19:45:03+00:00
COCH,75000,2024-12-11T19:45:03+00:00
COCM,1000,2024-12-11T19:45:03+00:00
COCO,350000,2024-12-11T19:45:03+00:00
COCP,100000,2024-12-11T19:45:03+00:00
CODA,200000,2024-12-11T19:45:03+00:00
CODI,300000,2024-12-11T19:45:03+00:00
CODI PRA,15000,2024-12-11T19:45:03+00:00
CODI PRB,250000,2024-12-11T19:45:03+00:00
CODI PRC,150000,2024-12-11T19:45:03+00:00
CODX,700000,2024-12-11T19:45:03+00:00
CODYY,350000,2024-12-11T19:45:03+00:00
COE,850000,2024-12-11T19:45:03+00:00
COEP,500000,2024-12-11T19:45:03+00:00
COF,9200000,2024-12-11T19:45:03+00:00
COF PRI,100000,2024-12-11T19:45:03+00:00
COF PRJ,650000,2024-12-11T19:45:03+00:00
COF PRK,55000,2024-12-11T19:45:03+00:00
COF PRL,70000,2024-12-11T19:45:03+00:00
COF PRN,300000,2024-12-11T19:45:03+00:00
COFE,15000,2024-12-11T19:45:03+00:00
COFS,150000,2024-12-11T19:45:03+00:00
COGNY,85000,2024-12-11T19:45:03+00:00
COGR,4000,2024-12-11T19:45:03+00:00
COGT,1400000,2024-12-11T19:45:03+00:00
COHG,25000,2024-12-11T19:45:03+00:00
COHN,40000,2024-12-11T19:45:03+00:00
COHO,4200000,2024-12-11T19:45:03+00:00
COHR,3600000,2024-12-11T19:45:03+00:00
COHU,1100000,2024-12-11T19:45:03+00:00
COIB,100000,2024-12-11T19:45:03+00:00
COIHY,6000,2024-12-11T19:45:03+00:00
COIN,6600000,2024-12-11T19:45:03+00:00
COKE,55000,2024-12-11T19:45:03+00:00
COLB,10000000,2024-12-11T19:45:03+00:00
COLCF,7000,2024-12-11T19:45:03+00:00
COLD,6600000,2024-12-11T19:45:03+00:00
COLL,350000,2024-12-11T19:45:03+00:00
COLM,100000,2024-12-11T19:45:03+00:00
COM,15000,2024-12-11T19:45:03+00:00
COMB,10000,2024-12-11T19:45:03+00:00
COMCF,70000,2024-12-11T19:45:03+00:00
COMM,5300000,2024-12-11T19:45:03+00:00
COMP,7000000,2024-12-11T19:45:03+00:00
COMS,60000,2024-12-11T19:45:03+00:00
COMSP,4000,2024-12-11T19:45:03+00:00
COMT,50000,2024-12-11T19:45:03+00:00
CON,10000000,2024-12-11T19:45:03+00:00
CONI,9000,2024-12-11T19:45:03+00:00
CONL,450000,2024-12-11T19:45:03+00:00
CONNQ,100000,2024-12-11T19:45:03+00:00
CONY,1600000,2024-12-11T19:45:03+00:00
COO,5800000,2024-12-11T19:45:03+00:00
COOK,350000,2024-12-11T19:45:03+00:00
COOP,3600000,2024-12-11T19:45:03+00:00
COOT,100000,2024-12-11T19:45:03+00:00
COP,10000000,2024-12-11T19:45:03+00:00
COPAF,300000,2024-12-11T19:45:03+00:00
COPJ,25000,2024-12-11T19:45:03+00:00
COPP,45000,2024-12-11T19:45:03+00:00
COPR,2000,2024-12-11T19:45:03+00:00
COPX,200000,2024-12-11T19:45:03+00:00
COR,5800000,2024-12-11T19:45:03+00:00
CORBF,600000,2024-12-11T19:45:03+00:00
CORG,1000,2024-12-11T19:45:03+00:00
CORN,100000,2024-12-11T19:45:03+00:00
CORP,4000,2024-12-11T19:45:03+00:00
CORR.OLD1,3200000,2024-12-11T19:45:03+00:00
CORT,200000,2024-12-11T19:45:03+00:00
CORX.OLD1,15000,2024-12-11T19:45:03+00:00
CORZ,10000000,2024-12-11T19:45:03+00:00
COSAF,100000,2024-12-11T19:45:03+00:00
COSM,1200000,2024-12-11T19:45:03+00:00
COSO,10000,2024-12-11T19:45:03+00:00
COSRF,100000,2024-12-11T19:45:03+00:00
COST,6800000,2024-12-11T19:45:03+00:00
COTY,4000000,2024-12-11T19:45:03+00:00
COUR,4600000,2024-12-11T19:45:03+00:00
COUV,1200000,2024-12-11T19:45:03+00:00
COVTY,2000,2024-12-11T19:45:03+00:00
COWI,10000000,2024-12-11T19:45:03+00:00
COWPP,15000,2024-12-11T19:45:03+00:00
COWS,900,2024-12-11T19:45:03+00:00
COWZ,600000,2024-12-11T19:45:03+00:00
COYA,350000,2024-12-11T19:45:03+00:00
COYNQ,1400000,2024-12-11T19:45:03+00:00
COYR,1500000,2024-12-11T19:45:03+00:00
CP,9200000,2024-12-11T19:45:03+00:00
CPA,600000,2024-12-11T19:45:03+00:00
CPAC,60000,2024-12-11T19:45:03+00:00
CPAY,4100000,2024-12-11T19:45:03+00:00
CPB,2800000,2024-12-11T19:45:03+00:00
CPBI,50000,2024-12-11T19:45:03+00:00
CPBRQ,35000,2024-12-11T19:45:03+00:00
CPBXQ,100,2024-12-11T19:45:03+00:00
CPCPF,15000,2024-12-11T19:45:03+00:00
CPDU,35000,2024-12-11T19:45:03+00:00
CPER,450000,2024-12-11T19:45:03+00:00
CPF,900000,2024-12-11T19:45:03+00:00
CPGU,200,2024-12-11T19:45:03+00:00
CPHC,7000,2024-12-11T19:45:03+00:00
CPHG,800000,2024-12-11T19:45:03+00:00
CPHI,200000,2024-12-11T19:45:03+00:00
CPHRF,300000,2024-12-11T19:45:03+00:00
CPK,900000,2024-12-11T19:45:03+00:00
CPKF,15000,2024-12-11T19:45:03+00:00
CPLB,100,2024-12-11T19:45:03+00:00
CPLS,100,2024-12-11T19:45:03+00:00
CPMCF,150000,2024-12-11T19:45:03+00:00
CPMD,150000,2024-12-11T19:45:03+00:00
CPMV,10000,2024-12-11T19:45:03+00:00
CPNFF,15000,2024-12-11T19:45:03+00:00
CPNG,10000000,2024-12-11T19:45:03+00:00
CPNJ,10000,2024-12-11T19:45:03+00:00
CPNS,900,2024-12-11T19:45:03+00:00
CPOP,100000,2024-12-11T19:45:03+00:00
CPPD,55000,2024-12-11T19:45:03+00:00
CPPKF,1800000,2024-12-11T19:45:03+00:00
CPPMF,500000,2024-12-11T19:45:03+00:00
CPPTL,300000,2024-12-11T19:45:03+00:00
CPQQ,100000,2024-12-11T19:45:03+00:00
CPRI,4200000,2024-12-11T19:45:03+00:00
CPRJ,10000,2024-12-11T19:45:03+00:00
CPRO,3000,2024-12-11T19:45:03+00:00
CPROF,300,2024-12-11T19:45:03+00:00
CPRT,10000000,2024-12-11T19:45:03+00:00
CPRX,3200000,2024-12-11T19:45:03+00:00
CPS,400000,2024-12-11T19:45:03+00:00
CPSA,2000,2024-12-11T19:45:03+00:00
CPSD,300,2024-12-11T19:45:03+00:00
CPSH,300000,2024-12-11T19:45:03+00:00
CPSJ,4000,2024-12-11T19:45:03+00:00
CPSL,500,2024-12-11T19:45:03+00:00
CPSL.OLD1,5000,2024-12-11T19:45:03+00:00
CPSM,20000,2024-12-11T19:45:03+00:00
CPSS,95000,2024-12-11T19:45:03+00:00
CPST,200,2024-12-11T19:45:03+00:00
CPT,3600000,2024-12-11T19:45:03+00:00
CPTN,350000,2024-12-11T19:45:03+00:00
CPTP,400,2024-12-11T19:45:03+00:00
CPUT,45000,2024-12-11T19:45:03+00:00
CPWR,250000,2024-12-11T19:45:03+00:00
CPWY,100000,2024-12-11T19:45:03+00:00
CPXP,4800000,2024-12-11T19:45:03+00:00
CPYE,400000,2024-12-11T19:45:03+00:00
CPYJ,600000,2024-12-11T19:45:03+00:00
CPYYY,1000,2024-12-11T19:45:03+00:00
CPZ,25000,2024-12-11T19:45:03+00:00
CQP,15000,2024-12-11T19:45:03+00:00
CQQQ,250000,2024-12-11T19:45:03+00:00
CQRLF,100000,2024-12-11T19:45:03+00:00
CR,1200000,2024-12-11T19:45:03+00:00
CRAI,100000,2024-12-11T19:45:03+00:00
CRAK,15000,2024-12-11T19:45:03+00:00
CRARY,95000,2024-12-11T19:45:03+00:00
CRAWA,75000,2024-12-11T19:45:03+00:00
CRBBF,700,2024-12-11T19:45:03+00:00
CRBD,300000,2024-12-11T19:45:03+00:00
CRBG,4100000,2024-12-11T19:45:03+00:00
CRBN,10000,2024-12-11T19:45:03+00:00
CRBO,1000,2024-12-11T19:45:03+00:00
CRBP,750000,2024-12-11T19:45:03+00:00
CRBU,1800000,2024-12-11T19:45:03+00:00
CRC,1100000,2024-12-11T19:45:03+00:00
CRCCY,300,2024-12-11T19:45:03+00:00
CRCL,2000000,2024-12-11T19:45:03+00:00
CRCS,15000,2024-12-11T19:45:03+00:00
CRCT,300000,2024-12-11T19:45:03+00:00
CRCUF,600000,2024-12-11T19:45:03+00:00
CRD A,600000,2024-12-11T19:45:03+00:00
CRD B,100000,2024-12-11T19:45:03+00:00
CRDF,100000,2024-12-11T19:45:03+00:00
CRDL,1100000,2024-12-11T19:45:03+00:00
CRDO,5500000,2024-12-11T19:45:03+00:00
CRDOF,70000,2024-12-11T19:45:03+00:00
CRDT,250000,2024-12-11T19:45:03+00:00
CRDV,3000,2024-12-11T19:45:03+00:00
CRECF,25000,2024-12-11T19:45:03+00:00
CREG,100000,2024-12-11T19:45:03+00:00
CRESY,1400000,2024-12-11T19:45:03+00:00
CREV,15000,2024-12-11T19:45:03+00:00
CREX,400000,2024-12-11T19:45:03+00:00
CRF,350000,2024-12-11T19:45:03+00:00
CRFTF,1000,2024-12-11T19:45:03+00:00
CRFU,5000,2024-12-11T19:45:03+00:00
CRGO,750000,2024-12-11T19:45:03+00:00
CRGP,10000000,2024-12-11T19:45:03+00:00
CRGX,250000,2024-12-11T19:45:03+00:00
CRGY,1200000,2024-12-11T19:45:03+00:00
CRH,10000000,2024-12-11T19:45:03+00:00
CRHKY,2000,2024-12-11T19:45:03+00:00
CRHY,10000,2024-12-11T19:45:03+00:00
CRI,750000,2024-12-11T19:45:03+00:00
CRIS,700000,2024-12-11T19:45:03+00:00
CRIT,600,2024-12-11T19:45:03+00:00
CRJI,1000,2024-12-11T19:45:03+00:00
CRK,2300000,2024-12-11T19:45:03+00:00
CRKN,1900000,2024-12-11T19:45:03+00:00
CRKT,4000,2024-12-11T19:45:03+00:00
CRL,900000,2024-12-11T19:45:03+00:00
CRLBF,3300000,2024-12-11T19:45:03+00:00
CRLRQ,600000,2024-12-11T19:45:03+00:00
CRM,10000000,2024-12-11T19:45:03+00:00
CRMBQ,600000,2024-12-11T19:45:03+00:00
CRMD,100000,2024-12-11T19:45:03+00:00
CRMIQ,1000,2024-12-11T19:45:03+00:00
CRMK,15000,2024-12-11T19:45:03+00:00
CRML,25000,2024-12-11T19:45:03+00:00
CRMT,400000,2024-12-11T19:45:03+00:00
CRMZ,100000,2024-12-11T19:45:03+00:00
CRNC,500000,2024-12-11T19:45:03+00:00
CRNCY,800,2024-12-11T19:45:03+00:00
CRNG,40000,2024-12-11T19:45:03+00:00
CRNT,2600000,2024-12-11T19:45:03+00:00
CRNX,2800000,2024-12-11T19:45:03+00:00
CRON,4800000,2024-12-11T19:45:03+00:00
CROX,1200000,2024-12-11T19:45:03+00:00
CRPHY,1000,2024-12-11T19:45:03+00:00
CRPT,45000,2024-12-11T19:45:03+00:00
CRPZ,3800000,2024-12-11T19:45:03+00:00
CRQE,2600000,2024-12-11T19:45:03+00:00
CRRFY,10000,2024-12-11T19:45:03+00:00
CRRVF,7000,2024-12-11T19:45:03+00:00
CRS,1100000,2024-12-11T19:45:03+00:00
CRSB,6000,2024-12-11T19:45:03+00:00
CRSH,150000,2024-12-11T19:45:03+00:00
CRSP,250000,2024-12-11T19:45:03+00:00
CRSR,650000,2024-12-11T19:45:03+00:00
CRT,150000,2024-12-11T19:45:03+00:00
CRTD,50000,2024-12-11T19:45:03+00:00
CRTG,1300000,2024-12-11T19:45:03+00:00
CRTIF,300000,2024-12-11T19:45:03+00:00
CRTL,100000,2024-12-11T19:45:03+00:00
CRTO,600000,2024-12-11T19:45:03+00:00
CRUS,1700000,2024-12-11T19:45:03+00:00
CRVH,650000,2024-12-11T19:45:03+00:00
CRVL,300000,2024-12-11T19:45:03+00:00
CRVO,8000,2024-12-11T19:45:03+00:00
CRVS,850000,2024-12-11T19:45:03+00:00
CRVW,90000,2024-12-11T19:45:03+00:00
CRWD,6500000,2024-12-11T19:45:03+00:00
CRWE,500,2024-12-11T19:45:03+00:00
CRWL,20000,2024-12-11T19:45:03+00:00
CRWS,20000,2024-12-11T19:45:03+00:00
CRXPF,100000,2024-12-11T19:45:03+00:00
CRYBF,300000,2024-12-11T19:45:03+00:00
CRYM,7100000,2024-12-11T19:45:03+00:00
CRZBY,90000,2024-12-11T19:45:03+00:00
CRZY,500,2024-12-11T19:45:03+00:00
CSAN,500000,2024-12-11T19:45:03+00:00
CSBF,14,2024-12-11T19:45:03+00:00
CSBI,15000,2024-12-11T19:45:03+00:00
CSBR,700000,2024-12-11T19:45:03+00:00
CSCCF,30000,2024-12-11T19:45:03+00:00
CSCI,15000,2024-12-11T19:45:03+00:00
CSCO,10000000,2024-12-11T19:45:03+00:00
CSD,9000,2024-12-11T19:45:03+00:00
CSDT,10000,2024-12-11T19:45:03+00:00
CSDX,2000,2024-12-11T19:45:03+00:00
CSEC,45000,2024-12-11T19:45:03+00:00
CSEF,150000,2024-12-11T19:45:03+00:00
CSGH,3000000,2024-12-11T19:45:03+00:00
CSGP,5000000,2024-12-11T19:45:03+00:00
CSGS,400000,2024-12-11T19:45:03+00:00
CSHD,250000,2024-12-11T19:45:03+00:00
CSHEF,150000,2024-12-11T19:45:03+00:00
CSHI,5000,2024-12-11T19:45:03+00:00
CSHX,2000,2024-12-11T19:45:03+00:00
CSHZ,950000,2024-12-11T19:45:03+00:00
CSIQ,1100000,2024-12-11T19:45:03+00:00
CSKH,6300000,2024-12-11T19:45:03+00:00
CSKI,650000,2024-12-11T19:45:03+00:00
CSKL,25000,2024-12-11T19:45:03+00:00
CSL,1100000,2024-12-11T19:45:03+00:00
CSLI,2400000,2024-12-11T19:45:03+00:00
CSLLY,15000,2024-12-11T19:45:03+00:00
CSLM,3000,2024-12-11T19:45:03+00:00
CSLMU,200,2024-12-11T19:45:03+00:00
CSLR,400000,2024-12-11T19:45:03+00:00
CSM,1000,2024-12-11T19:45:03+00:00
CSMD,700,2024-12-11T19:45:03+00:00
CSNG,150000,2024-12-11T19:45:03+00:00
CSNY,4000,2024-12-11T19:45:03+00:00
CSOL,200000,2024-12-11T19:45:03+00:00
CSPCY,10000,2024-12-11T19:45:03+00:00
CSPI,20000,2024-12-11T19:45:03+00:00
CSPS,450000,2024-12-11T19:45:03+00:00
CSQ,100000,2024-12-11T19:45:03+00:00
CSR,300000,2024-12-11T19:45:03+00:00
CSRH,2700000,2024-12-11T19:45:03+00:00
CSRNF,400000,2024-12-11T19:45:03+00:00
CSRVF,95000,2024-12-11T19:45:03+00:00
CSRZ,100000,2024-12-11T19:45:03+00:00
CSSEQ,700000,2024-12-11T19:45:03+00:00
CSSI,1300000,2024-12-11T19:45:03+00:00
CSSNQ,250000,2024-12-11T19:45:03+00:00
CSSPQ,100000,2024-12-11T19:45:03+00:00
CSSV,150000,2024-12-11T19:45:03+00:00
CSTAF,75000,2024-12-11T19:45:03+00:00
CSTE,250000,2024-12-11T19:45:03+00:00
CSTF,10000000,2024-12-11T19:45:03+00:00
CSTJ,50000,2024-12-11T19:45:03+00:00
CSTL,950000,2024-12-11T19:45:03+00:00
CSTM,8800000,2024-12-11T19:45:03+00:00
CSTU,800,2024-12-11T19:45:03+00:00
CSTUF,3000,2024-12-11T19:45:03+00:00
CSTXF,9000,2024-12-11T19:45:03+00:00
CSUAY,30000,2024-12-11T19:45:03+00:00
CSUI,150000,2024-12-11T19:45:03+00:00
CSV,450000,2024-12-11T19:45:03+00:00
CSWC,1000000,2024-12-11T19:45:03+00:00
CSWCZ,30000,2024-12-11T19:45:03+00:00
CSWG,100000,2024-12-11T19:45:03+00:00
CSWI,500000,2024-12-11T19:45:03+00:00
CSX,10000000,2024-12-11T19:45:03+00:00
CSYS,55000,2024-12-11T19:45:03+00:00
CSYT,900000,2024-12-11T19:45:03+00:00
CTA,150000,2024-12-11T19:45:03+00:00
CTA PRA,1000,2024-12-11T19:45:03+00:00
CTA PRB,9000,2024-12-11T19:45:03+00:00
CTABF,60000,2024-12-11T19:45:03+00:00
CTARF,15000,2024-12-11T19:45:03+00:00
CTAS,8600000,2024-12-11T19:45:03+00:00
CTBB,600000,2024-12-11T19:45:03+00:00
CTBG,1000,2024-12-11T19:45:03+00:00
CTBI,250000,2024-12-11T19:45:03+00:00
CTBK,60000,2024-12-11T19:45:03+00:00
